0,1.05731,0.0542055,0.0542055,116405513
1,1.05731,0.0542055,0,0
2,1.05731,0.0542055,0,0
3,1.11112,0.10001,0.0458045,98364413
4,1.13058,0.115502,0.015492,33268754
5,1.14426,0.126071,0.0105687,22696158
6,1.16691,0.143033,0.0169627,36427079
7,1.18968,0.159436,0.0164026,35224373
8,1.1956,0.163603,0.00416694,8948425
9,1.2094,0.173146,0.00954282,20493055
10,1.21582,0.17751,0.00436457,9372840
11,1.23652,0.191281,0.0137702,29571233
12,1.23759,0.191977,0.00069604,1494735
13,1.24205,0.19488,0.00290359,6235413
14,1.26926,0.212142,0.0172622,37070355
15,1.27243,0.214101,0.00195835,4205527
16,1.29186,0.225924,0.011823,25389697
17,1.30755,0.23521,0.00928606,19941652
18,1.31229,0.237971,0.00276085,5928880
19,1.31725,0.240842,0.00287132,6166106
20,1.32992,0.248077,0.00723543,15537970
21,1.3357,0.25133,0.00325309,6985955
22,1.34035,0.253924,0.00259375,5570043
23,1.34366,0.255765,0.00184104,3953605
24,1.37864,0.274648,0.0188822,40549261
25,1.37971,0.275212,0.000564247,1211711
26,1.38084,0.275805,0.00059344,1274402
27,1.41851,0.295037,0.0192315,41299400
28,1.42545,0.298466,0.00342967,7365165
29,1.43404,0.30267,0.00420334,9026611
30,1.50828,0.336995,0.0343252,73712881
31,1.52097,0.342526,0.00553055,11876771
32,1.52242,0.343153,0.000627033,1346544
33,1.60197,0.375768,0.0326151,70040358
34,1.61992,0.382686,0.00691822,14856764
35,1.63732,0.389247,0.00656093,14089489
36,1.70478,0.413416,0.0241689,51902250
37,1.74464,0.426816,0.0134007,28777868
38,1.79163,0.441849,0.0150331,32283262
39,1.83613,0.455375,0.0135254,29045534
40,1.89089,0.471149,0.0157737,33873689
41,1.94405,0.48561,0.0144612,31055203
42,1.96803,0.491877,0.00626706,13458410
43,2.01153,0.502865,0.0109884,23597405
44,2.09947,0.523689,0.0208242,44719561
45,2.12152,0.528641,0.00495135,10632944
46,2.15093,0.535086,0.00644482,13840144
47,2.21988,0.549526,0.0144406,31011033
48,2.31292,0.567645,0.0181192,38910756
49,2.3369,0.572082,0.00443649,9527280
50,2.40136,0.583569,0.0114867,24667521
51,2.48196,0.597093,0.013524,29042565
52,2.52266,0.603593,0.0065,13958650
53,2.55499,0.608609,0.00501645,10772736
54,2.61183,0.617127,0.00851758,18291355
55,2.74508,0.635712,0.0185852,39911337
